Song name,YouTube URL - Original Song,YouTube URL - Cover Song 1,YouTube URL - Cover Song 2,YouTube URL - Cover Song 3
Animals,https://www.youtube.com/watch?v=0GVExpdmoDs&ab_channel=7clouds,https://www.youtube.com/watch?v=OuH_iWXF8HY&ab_channel=LivingInFiction,,
Bad Habit,https://www.youtube.com/watch?v=bU2EvRBUmxc&ab_channel=7clouds,https://www.youtube.com/watch?v=AoTqPtUu1NA&ab_channel=myka,,
Believer,https://www.youtube.com/watch?v=HXQJtEteKdU&ab_channel=KiranMusic,https://www.youtube.com/watch?v=FUQheX3PSnY&ab_channel=OneVoiceChildren%27sChoir,,
Bella Ciao,https://www.youtube.com/watch?v=4CI3lhyNKfo&feature=youtu.be&ab_channel=BattleForTelenuovo,https://www.youtube.com/watch?v=0aUav1lx3rA&ab_channel=ReLikeVibes,,
Bones,https://www.youtube.com/watch?v=TO-_3tck2tg&feature=youtu.be&ab_channel=ImagineDragonsVEVO,https://www.youtube.com/watch?v=7X6MTysDKzw&ab_channel=JaredHalley,,
Boro Boro,https://www.youtube.com/watch?v=J1CJIevhUr8&ab_channel=Arash,https://www.youtube.com/watch?v=SIrijoy0iZM&ab_channel=GiorgosMazonakis,,
Counting Stars,https://www.youtube.com/watch?v=tzMGDIU_-ow&ab_channel=TajTracks,https://www.youtube.com/watch?v=cSLAO7zxS2M&ab_channel=gootmusic,,
Ever Dream,https://www.youtube.com/watch?v=uuf3cVS_y9c&ab_channel=JanklerTV,https://www.youtube.com/watch?v=M3HhOOVGV6U&ab_channel=MoonSun,,
Girls Like You,https://www.youtube.com/watch?v=0lZ2AFZR6IU&ab_channel=7clouds,https://www.youtube.com/watch?v=nH7gHCO3oik&ab_channel=JonahBaker,,
I ain't worried,https://www.youtube.com/watch?v=0yeuCWrINSQ&ab_channel=Ereandelmusic,https://www.youtube.com/watch?v=nbYVLRLs1v4&ab_channel=JaredHalley,,
In The End,https://www.youtube.com/watch?v=eVTXPUF4Oz4&ab_channel=LinkinPark,https://www.youtube.com/watch?v=j8baN2yTJEw&ab_channel=Soundeo,,
Let Me Down Slowly,https://www.youtube.com/watch?v=1gvOv-W_6Go&ab_channel=WowLyrics,https://www.youtube.com/watch?v=M4h1T59BeM0&ab_channel=JFlaMusic,,
Life Goes On,https://www.youtube.com/watch?v=LnavzVJctAw&ab_channel=7clouds,https://www.youtube.com/watch?v=YJf65k9O-LU&ab_channel=JellyPuffMusic,,
lovely,https://www.youtube.com/watch?v=ZrsIQCLtNpE&ab_channel=TajTracks,https://www.youtube.com/watch?v=1HWcr2AyoKc&ab_channel=LynneaM.,,
Maps ,https://www.youtube.com/watch?v=_sIeccYNLKI&ab_channel=Pillow,https://www.youtube.com/watch?v=jaPn5pXtkuI&ab_channel=KurtHugoSchneider,,
Memories,https://www.youtube.com/watch?v=o2DXt11SMNI&ab_channel=7clouds,https://www.youtube.com/watch?v=HX3wWoaT9hk&ab_channel=JFlaMusic,,
Monotonía,https://www.youtube.com/watch?v=NACSRrga9wk&ab_channel=7clouds,https://www.youtube.com/watch?v=YIo_p2fsuOs&ab_channel=Mileva,,
Nothing Else Matters,https://www.youtube.com/watch?v=tAGnKpE4NCI&ab_channel=Metallica,https://www.youtube.com/watch?v=NJhWnn92cWk&ab_channel=IgorPresnyakov,,
One Kiss,https://www.youtube.com/watch?v=YaOlxgJHif0&ab_channel=7clouds,https://www.youtube.com/watch?v=l1xLg4Jsm8w&ab_channel=AlexanderStewart,,
Payphone,https://www.youtube.com/watch?v=bTWqH8eHzgw&ab_channel=3Sundaymood,https://www.youtube.com/watch?v=r3uk-kD20-0&ab_channel=ParadiseFears,,
Perfect,https://www.youtube.com/watch?v=StU7YknZk38&ab_channel=HLyrics,https://www.youtube.com/watch?v=3G8CM-6BZC4&ab_channel=BoyceAvenue,,
Photograph,https://www.youtube.com/watch?v=Ffc-b2_shgQ&ab_channel=RELAX,https://www.youtube.com/watch?v=tIA_vrBDC1g&ab_channel=BoyceAvenue,,
Shape of You,https://www.youtube.com/watch?v=7_0moXF91M0&ab_channel=KiranMusic,https://www.youtube.com/watch?v=Jm4B-A_e8Zc&ab_channel=BoyceAvenue,,
Skyfall,https://www.youtube.com/watch?v=DeumyOzKqgI&feature=youtu.be&ab_channel=AdeleVEVO,https://www.youtube.com/watch?v=rFIl-60HjOE&ab_channel=ENIGMATIKU02,,
Sugar,https://www.youtube.com/watch?v=N1BcpzPGlYQ&ab_channel=7clouds,https://www.youtube.com/watch?v=4aEfcMlJkYs&ab_channel=VervaBand,,
Sweet Dreams,https://www.youtube.com/watch?v=qeMFqkcPYcg&ab_channel=EurythmicsVEVO,https://www.youtube.com/watch?v=QUvVdTlA23w&feature=youtu.be&ab_channel=MarilynMansonVEVO,,
The Nights,https://www.youtube.com/watch?v=FpTkmyLEDL4&ab_channel=ShekaraPop,https://www.youtube.com/watch?v=VkVB9CajX1M&ab_channel=TannerPatrick,,
The Nights,https://www.youtube.com/watch?v=wZfr5alIcjM&ab_channel=VanillaSky,https://www.youtube.com/watch?v=0fCcWOr9GAo&ab_channel=EfiGjika,,
The Phantom Of The Opera,https://www.youtube.com/watch?v=rBhozE-TkQo&ab_channel=ovidiuconstantine,https://www.youtube.com/watch?v=pgz6PnHkmpY,,
The Sound of Silence,https://www.youtube.com/watch?v=nkUOACGtGfA&ab_channel=Typiak,https://www.youtube.com/watch?v=u9Dg-g7t2l4&feature=youtu.be&ab_channel=Disturbed,,
The Unforgiven,https://www.youtube.com/watch?v=Ckom3gf57Yw&ab_channel=WarnerRecordsVault,https://www.youtube.com/watch?v=UZxAqMxcqDU&ab_channel=FatinMajidi,,
This Love,https://www.youtube.com/watch?v=XPpTgCho5ZA&ab_channel=Maroon5VEVO,https://www.youtube.com/watch?v=2dFjCwdlguM&ab_channel=TheFeelgoodOrchestra,,
Thunderstruck,https://www.youtube.com/watch?v=v2AC41dglnM,https://www.youtube.com/watch?v=ZM6Y5Mi4fNE,https://www.youtube.com/watch?v=rl3_p-Mmnds,
Wake Up,https://www.youtube.com/watch?v=DyOSx62c2Ic&ab_channel=CenturyMediaRecords,https://www.youtube.com/watch?v=EnRANRt14Hs&ab_channel=KiraDeathScythe,,
You Only Live Once,https://www.youtube.com/watch?v=312Sb-2PovA&ab_channel=CenturyMediaRecords,https://www.youtube.com/watch?v=nDG4g_1kSlw&ab_channel=Impericon,,
ΦΡΑΓΚΟΣΥΡΙΑΝΗ,https://www.youtube.com/watch?v=EdJvHLKRgxk&ab_channel=GeorgeAmfilochia,https://www.youtube.com/watch?v=e1BQjxyKAf4&ab_channel=%CE%93%CE%B9%CF%8E%CF%81%CE%B3%CE%BF%CF%82%CE%A1%CE%BF%CF%85%CF%87%CF%89%CF%84%CE%AC%CF%82,,
Φωτιά με φωτιά,https://www.youtube.com/watch?v=Y9LMmqvjTF0&ab_channel=CobaltMusic,https://www.youtube.com/watch?v=uwPReKYKZJ0&ab_channel=SearaluiZorba,,
Breathless,https://www.youtube.com/watch?v=xhJD-aBCfS0&ab_channel=panos93osfp,https://www.youtube.com/watch?v=ejE69NFNfUU&ab_channel=HeavenMusic,,
Façade,https://www.youtube.com/watch?v=cj0ozIzP_oo&ab_channel=Disturbed-Topic,https://www.youtube.com/watch?v=hvC0YXnoLSI&ab_channel=Alex_PV,,
Englishman In New York,https://www.youtube.com/watch?v=d27gTrPPAyk&ab_channel=StingVEVO,https://www.youtube.com/watch?v=MKOdSKHXwEM&ab_channel=GRMusic,,
Relax,https://www.youtube.com/watch?v=Yem_iEHiyJ0&ab_channel=FGTHVEVO,https://www.youtube.com/watch?v=hcF-SHHquZ4&ab_channel=MADGREEK%CE%96,,